"timestamp","customer_no","location_1"
2019-09-06 07:00:00.000,1,dairy
2019-09-06 07:00:00.000,2,drinks
2019-09-06 07:00:00.000,3,fruit
2019-09-06 07:01:00.000,2,checkout
2019-09-06 07:01:00.000,4,drinks
2019-09-06 07:01:00.000,5,dairy
2019-09-06 07:02:00.000,4,checkout
2019-09-06 07:02:00.000,6,spices
2019-09-06 07:02:00.000,7,dairy
2019-09-06 07:03:00.000,3,spices
2019-09-06 07:03:00.000,6,dairy
2019-09-06 07:03:00.000,8,fruit
2019-09-06 07:04:00.000,1,spices
2019-09-06 07:04:00.000,3,dairy
2019-09-06 07:04:00.000,8,checkout
2019-09-06 07:05:00.000,1,checkout
2019-09-06 07:05:00.000,6,drinks
2019-09-06 07:05:00.000,7,checkout
2019-09-06 07:06:00.000,9,fruit
2019-09-06 07:06:00.000,10,fruit
2019-09-06 07:06:00.000,11,fruit
2019-09-06 07:07:00.000,5,spices
2019-09-06 07:08:00.000,5,drinks
2019-09-06 07:08:00.000,6,spices
2019-09-06 07:08:00.000,9,dairy
2019-09-06 07:08:00.000,12,fruit
2019-09-06 07:08:00.000,13,dairy
2019-09-06 07:08:00.000,14,spices
2019-09-06 07:09:00.000,6,fruit
2019-09-06 07:09:00.000,9,checkout
2019-09-06 07:09:00.000,13,drinks
2019-09-06 07:09:00.000,15,spices
2019-09-06 07:09:00.000,16,fruit
2019-09-06 07:09:00.000,17,spices
2019-09-06 07:10:00.000,5,spices
2019-09-06 07:10:00.000,6,checkout
2019-09-06 07:10:00.000,12,checkout
2019-09-06 07:10:00.000,14,fruit
2019-09-06 07:11:00.000,3,checkout
2019-09-06 07:11:00.000,5,drinks
2019-09-06 07:11:00.000,10,checkout
2019-09-06 07:11:00.000,13,checkout
2019-09-06 07:11:00.000,16,dairy
2019-09-06 07:11:00.000,17,drinks
2019-09-06 07:11:00.000,18,fruit
2019-09-06 07:11:00.000,19,spices
2019-09-06 07:12:00.000,11,drinks
2019-09-06 07:12:00.000,14,drinks
2019-09-06 07:12:00.000,17,fruit
2019-09-06 07:12:00.000,20,fruit
2019-09-06 07:12:00.000,21,dairy
2019-09-06 07:12:00.000,22,fruit
2019-09-06 07:13:00.000,15,checkout
2019-09-06 07:13:00.000,17,dairy
2019-09-06 07:13:00.000,19,fruit
2019-09-06 07:13:00.000,22,drinks
2019-09-06 07:14:00.000,11,checkout
2019-09-06 07:14:00.000,14,checkout
2019-09-06 07:14:00.000,22,checkout
2019-09-06 07:15:00.000,5,checkout
2019-09-06 07:16:00.000,16,spices
2019-09-06 07:16:00.000,17,fruit
2019-09-06 07:17:00.000,19,checkout
2019-09-06 07:17:00.000,20,checkout
2019-09-06 07:18:00.000,16,fruit
2019-09-06 07:18:00.000,18,checkout
2019-09-06 07:18:00.000,23,dairy
2019-09-06 07:19:00.000,17,checkout
2019-09-06 07:19:00.000,24,dairy
2019-09-06 07:19:00.000,25,dairy
2019-09-06 07:19:00.000,26,dairy
2019-09-06 07:19:00.000,27,spices
2019-09-06 07:19:00.000,28,fruit
2019-09-06 07:20:00.000,16,checkout
2019-09-06 07:20:00.000,21,checkout
2019-09-06 07:20:00.000,25,fruit
2019-09-06 07:20:00.000,28,checkout
2019-09-06 07:20:00.000,29,fruit
2019-09-06 07:20:00.000,30,fruit
2019-09-06 07:20:00.000,31,drinks
2019-09-06 07:21:00.000,27,checkout
2019-09-06 07:21:00.000,30,checkout
2019-09-06 07:22:00.000,26,drinks
2019-09-06 07:22:00.000,32,fruit
2019-09-06 07:22:00.000,33,fruit
2019-09-06 07:23:00.000,34,fruit
2019-09-06 07:24:00.000,24,spices
2019-09-06 07:24:00.000,25,dairy
2019-09-06 07:24:00.000,26,spices
2019-09-06 07:24:00.000,29,dairy
2019-09-06 07:24:00.000,35,drinks
2019-09-06 07:25:00.000,31,fruit
2019-09-06 07:25:00.000,32,spices
2019-09-06 07:25:00.000,34,spices
2019-09-06 07:25:00.000,36,fruit
2019-09-06 07:25:00.000,37,dairy
2019-09-06 07:26:00.000,29,checkout
2019-09-06 07:26:00.000,31,dairy
2019-09-06 07:26:00.000,32,checkout
2019-09-06 07:26:00.000,34,checkout
2019-09-06 07:27:00.000,24,drinks
2019-09-06 07:27:00.000,25,checkout
2019-09-06 07:27:00.000,31,drinks
2019-09-06 07:27:00.000,35,spices
2019-09-06 07:27:00.000,37,checkout
2019-09-06 07:27:00.000,38,fruit
2019-09-06 07:27:00.000,39,dairy
2019-09-06 07:27:00.000,40,spices
2019-09-06 07:27:00.000,41,fruit
2019-09-06 07:27:00.000,42,drinks
2019-09-06 07:27:00.000,43,drinks
2019-09-06 07:28:00.000,24,spices
2019-09-06 07:28:00.000,26,checkout
2019-09-06 07:28:00.000,31,spices
2019-09-06 07:28:00.000,35,fruit
2019-09-06 07:28:00.000,36,checkout
2019-09-06 07:28:00.000,40,drinks
2019-09-06 07:28:00.000,44,drinks
2019-09-06 07:29:00.000,24,drinks
2019-09-06 07:29:00.000,38,spices
2019-09-06 07:29:00.000,43,fruit
2019-09-06 07:30:00.000,23,checkout
2019-09-06 07:30:00.000,31,drinks
2019-09-06 07:30:00.000,33,drinks
2019-09-06 07:30:00.000,35,drinks
2019-09-06 07:30:00.000,38,checkout
2019-09-06 07:30:00.000,39,checkout
2019-09-06 07:30:00.000,43,checkout
2019-09-06 07:31:00.000,24,checkout
2019-09-06 07:31:00.000,31,fruit
2019-09-06 07:31:00.000,35,spices
2019-09-06 07:31:00.000,40,fruit
2019-09-06 07:31:00.000,44,checkout
2019-09-06 07:31:00.000,45,spices
2019-09-06 07:31:00.000,46,dairy
2019-09-06 07:32:00.000,33,checkout
2019-09-06 07:32:00.000,41,dairy
2019-09-06 07:32:00.000,45,fruit
2019-09-06 07:32:00.000,46,drinks
2019-09-06 07:32:00.000,47,fruit
2019-09-06 07:33:00.000,41,drinks
2019-09-06 07:33:00.000,45,spices
2019-09-06 07:33:00.000,48,dairy
2019-09-06 07:33:00.000,49,fruit
2019-09-06 07:33:00.000,50,fruit
2019-09-06 07:34:00.000,40,dairy
2019-09-06 07:34:00.000,41,spices
2019-09-06 07:34:00.000,45,drinks
2019-09-06 07:34:00.000,46,spices
2019-09-06 07:34:00.000,47,spices
2019-09-06 07:34:00.000,48,spices
2019-09-06 07:35:00.000,31,dairy
2019-09-06 07:35:00.000,35,fruit
2019-09-06 07:35:00.000,41,checkout
2019-09-06 07:35:00.000,45,checkout
2019-09-06 07:35:00.000,47,dairy
2019-09-06 07:35:00.000,50,dairy
2019-09-06 07:35:00.000,51,fruit
2019-09-06 07:35:00.000,52,fruit
2019-09-06 07:35:00.000,53,dairy
2019-09-06 07:36:00.000,47,spices
2019-09-06 07:36:00.000,48,checkout
2019-09-06 07:36:00.000,49,drinks
2019-09-06 07:36:00.000,52,checkout
2019-09-06 07:36:00.000,53,checkout
2019-09-06 07:36:00.000,54,spices
2019-09-06 07:36:00.000,55,dairy
2019-09-06 07:37:00.000,40,checkout
2019-09-06 07:37:00.000,42,spices
2019-09-06 07:37:00.000,47,fruit
2019-09-06 07:37:00.000,49,checkout
2019-09-06 07:37:00.000,50,drinks
2019-09-06 07:37:00.000,51,spices
2019-09-06 07:37:00.000,54,drinks
2019-09-06 07:37:00.000,56,spices
2019-09-06 07:37:00.000,57,fruit
2019-09-06 07:38:00.000,42,drinks
2019-09-06 07:38:00.000,46,dairy
2019-09-06 07:38:00.000,51,dairy
2019-09-06 07:38:00.000,58,drinks
2019-09-06 07:38:00.000,59,drinks
2019-09-06 07:38:00.000,60,dairy
2019-09-06 07:38:00.000,61,fruit
2019-09-06 07:38:00.000,62,dairy
2019-09-06 07:38:00.000,63,dairy
2019-09-06 07:38:00.000,64,dairy
2019-09-06 07:39:00.000,35,checkout
2019-09-06 07:39:00.000,50,spices
2019-09-06 07:39:00.000,56,dairy
2019-09-06 07:39:00.000,62,drinks
2019-09-06 07:39:00.000,64,drinks
2019-09-06 07:39:00.000,65,fruit
2019-09-06 07:39:00.000,66,spices
2019-09-06 07:40:00.000,51,spices
2019-09-06 07:40:00.000,60,drinks
2019-09-06 07:40:00.000,66,checkout
2019-09-06 07:40:00.000,67,spices
2019-09-06 07:41:00.000,31,fruit
2019-09-06 07:41:00.000,42,checkout
2019-09-06 07:41:00.000,46,checkout
2019-09-06 07:41:00.000,47,checkout
2019-09-06 07:41:00.000,50,fruit
2019-09-06 07:41:00.000,51,fruit
2019-09-06 07:41:00.000,57,checkout
2019-09-06 07:41:00.000,58,fruit
2019-09-06 07:41:00.000,60,dairy
2019-09-06 07:41:00.000,65,dairy
2019-09-06 07:41:00.000,68,dairy
2019-09-06 07:41:00.000,69,drinks
2019-09-06 07:41:00.000,70,fruit
2019-09-06 07:41:00.000,71,spices
2019-09-06 07:41:00.000,72,drinks
2019-09-06 07:42:00.000,31,checkout
2019-09-06 07:42:00.000,54,fruit
2019-09-06 07:42:00.000,55,checkout
2019-09-06 07:42:00.000,56,drinks
2019-09-06 07:42:00.000,60,spices
2019-09-06 07:42:00.000,61,drinks
2019-09-06 07:42:00.000,62,fruit
2019-09-06 07:42:00.000,65,spices
2019-09-06 07:42:00.000,69,spices
2019-09-06 07:42:00.000,71,dairy
2019-09-06 07:43:00.000,50,checkout
2019-09-06 07:43:00.000,51,dairy
2019-09-06 07:43:00.000,58,checkout
2019-09-06 07:43:00.000,59,fruit
2019-09-06 07:43:00.000,60,checkout
2019-09-06 07:43:00.000,62,dairy
2019-09-06 07:43:00.000,69,checkout
2019-09-06 07:43:00.000,71,checkout
2019-09-06 07:43:00.000,72,spices
2019-09-06 07:44:00.000,63,fruit
