"timestamp","cust_id","location_1"
2019-09-02 07:03:00.000,"01-1",dairy
2019-09-02 07:03:00.000,"01-2",dairy
2019-09-02 07:04:00.000,"01-3",dairy
2019-09-02 07:04:00.000,"01-4",dairy
2019-09-02 07:04:00.000,"01-5",spices
2019-09-02 07:04:00.000,"01-6",spices
2019-09-02 07:04:00.000,"01-7",spices
2019-09-02 07:04:00.000,"01-8",fruit
2019-09-02 07:05:00.000,"01-1",checkout
2019-09-02 07:05:00.000,"01-5",checkout
2019-09-02 07:05:00.000,"01-6",dairy
2019-09-02 07:05:00.000,"01-7",drinks
2019-09-02 07:06:00.000,"01-2",checkout
2019-09-02 07:06:00.000,"01-3",checkout
2019-09-02 07:06:00.000,"01-9",dairy
2019-09-02 07:06:00.000,"01-10",fruit
2019-09-02 07:06:00.000,"01-11",drinks
2019-09-02 07:06:00.000,"01-12",spices
2019-09-02 07:06:00.000,"01-13",dairy
2019-09-02 07:06:00.000,"01-14",fruit
2019-09-02 07:07:00.000,"01-8",checkout
2019-09-02 07:07:00.000,"01-12",drinks
2019-09-02 07:07:00.000,"01-15",spices
2019-09-02 07:07:00.000,"01-16",dairy
2019-09-02 07:08:00.000,"01-4",checkout
2019-09-02 07:08:00.000,"01-10",checkout
2019-09-02 07:08:00.000,"01-11",checkout
2019-09-02 07:08:00.000,"01-15",fruit
2019-09-02 07:09:00.000,"01-7",spices
2019-09-02 07:09:00.000,"01-14",checkout
2019-09-02 07:09:00.000,"01-16",spices
2019-09-02 07:10:00.000,"01-12",checkout
2019-09-02 07:11:00.000,"01-7",fruit
2019-09-02 07:11:00.000,"01-16",checkout
2019-09-02 07:11:00.000,"01-17",fruit
2019-09-02 07:12:00.000,"01-9",fruit
2019-09-02 07:12:00.000,"01-15",checkout
2019-09-02 07:12:00.000,"01-18",fruit
2019-09-02 07:12:00.000,"01-19",spices
2019-09-02 07:12:00.000,"01-20",drinks
2019-09-02 07:13:00.000,"01-7",checkout
2019-09-02 07:13:00.000,"01-9",checkout
2019-09-02 07:13:00.000,"01-13",spices
2019-09-02 07:13:00.000,"01-19",drinks
2019-09-02 07:13:00.000,"01-21",drinks
2019-09-02 07:13:00.000,"01-22",fruit
2019-09-02 07:14:00.000,"01-13",dairy
2019-09-02 07:14:00.000,"01-18",dairy
2019-09-02 07:14:00.000,"01-20",checkout
2019-09-02 07:14:00.000,"01-23",fruit
2019-09-02 07:14:00.000,"01-24",drinks
2019-09-02 07:15:00.000,"01-13",fruit
2019-09-02 07:15:00.000,"01-21",spices
2019-09-02 07:15:00.000,"01-22",dairy
2019-09-02 07:15:00.000,"01-23",checkout
2019-09-02 07:16:00.000,"01-13",checkout
2019-09-02 07:16:00.000,"01-21",checkout
2019-09-02 07:16:00.000,"01-25",spices
2019-09-02 07:16:00.000,"01-26",fruit
2019-09-02 07:16:00.000,"01-27",spices
2019-09-02 07:16:00.000,"01-28",drinks
2019-09-02 07:16:00.000,"01-29",drinks
2019-09-02 07:17:00.000,"01-6",spices
2019-09-02 07:17:00.000,"01-18",checkout
2019-09-02 07:17:00.000,"01-22",checkout
2019-09-02 07:17:00.000,"01-25",dairy
2019-09-02 07:17:00.000,"01-30",spices
2019-09-02 07:17:00.000,"01-31",spices
2019-09-02 07:17:00.000,"01-32",drinks
2019-09-02 07:17:00.000,"01-33",fruit
2019-09-02 07:17:00.000,"01-34",spices
2019-09-02 07:18:00.000,"01-6",drinks
2019-09-02 07:18:00.000,"01-25",spices
2019-09-02 07:18:00.000,"01-29",checkout
2019-09-02 07:18:00.000,"01-30",drinks
2019-09-02 07:18:00.000,"01-31",checkout
2019-09-02 07:18:00.000,"01-34",drinks
2019-09-02 07:18:00.000,"01-35",dairy
2019-09-02 07:19:00.000,"01-25",drinks
2019-09-02 07:19:00.000,"01-27",dairy
2019-09-02 07:19:00.000,"01-28",checkout
2019-09-02 07:19:00.000,"01-30",fruit
2019-09-02 07:19:00.000,"01-35",drinks
2019-09-02 07:20:00.000,"01-19",checkout
2019-09-02 07:20:00.000,"01-24",checkout
2019-09-02 07:20:00.000,"01-26",dairy
2019-09-02 07:20:00.000,"01-30",dairy
2019-09-02 07:20:00.000,"01-32",checkout
2019-09-02 07:20:00.000,"01-33",dairy
2019-09-02 07:20:00.000,"01-36",dairy
2019-09-02 07:21:00.000,"01-30",fruit
2019-09-02 07:21:00.000,"01-36",checkout
2019-09-02 07:22:00.000,"01-17",checkout
2019-09-02 07:22:00.000,"01-25",checkout
2019-09-02 07:22:00.000,"01-33",spices
2019-09-02 07:22:00.000,"01-35",checkout
2019-09-02 07:22:00.000,"01-37",fruit
2019-09-02 07:22:00.000,"01-38",fruit
2019-09-02 07:23:00.000,"01-30",checkout
2019-09-02 07:23:00.000,"01-33",dairy
2019-09-02 07:24:00.000,"01-26",checkout
2019-09-02 07:24:00.000,"01-33",drinks
2019-09-02 07:25:00.000,"01-6",spices
2019-09-02 07:25:00.000,"01-34",spices
2019-09-02 07:26:00.000,"01-6",dairy
2019-09-02 07:26:00.000,"01-33",spices
2019-09-02 07:26:00.000,"01-34",fruit
2019-09-02 07:26:00.000,"01-37",checkout
2019-09-02 07:26:00.000,"01-38",dairy
2019-09-02 07:26:00.000,"01-39",dairy
2019-09-02 07:26:00.000,"01-40",dairy
2019-09-02 07:26:00.000,"01-41",drinks
2019-09-02 07:26:00.000,"01-42",dairy
2019-09-02 07:26:00.000,"01-43",fruit
2019-09-02 07:26:00.000,"01-44",fruit
2019-09-02 07:26:00.000,"01-45",spices
2019-09-02 07:26:00.000,"01-46",fruit
2019-09-02 07:27:00.000,"01-6",spices
2019-09-02 07:27:00.000,"01-33",drinks
