customer_id,before,after
MO_1,dairy,dairy
MO_1,dairy,checkout
MO_1,checkout,checkout
MO_2,dairy,dairy
MO_2,dairy,dairy
MO_2,dairy,checkout
MO_2,checkout,checkout
MO_3,dairy,dairy
MO_3,dairy,checkout
MO_3,checkout,checkout
MO_4,dairy,dairy
MO_4,dairy,dairy
MO_4,dairy,dairy
MO_4,dairy,checkout
MO_4,checkout,checkout
MO_5,spices,checkout
MO_5,checkout,checkout
MO_6,spices,dairy
MO_6,dairy,dairy
MO_6,dairy,dairy
MO_6,dairy,dairy
MO_6,dairy,dairy
MO_6,dairy,dairy
MO_6,dairy,dairy
MO_6,dairy,dairy
MO_6,dairy,dairy
MO_6,dairy,dairy
MO_6,dairy,dairy
MO_6,dairy,dairy
MO_6,dairy,spices
MO_6,spices,drinks
MO_6,drinks,drinks
MO_6,drinks,drinks
MO_6,drinks,drinks
MO_6,drinks,drinks
MO_6,drinks,drinks
MO_6,drinks,drinks
MO_6,drinks,spices
MO_6,spices,dairy
MO_6,dairy,spices
MO_6,spices,spices
MO_6,spices,checkout
MO_6,checkout,checkout
MO_7,spices,drinks
MO_7,drinks,drinks
MO_7,drinks,drinks
MO_7,drinks,drinks
MO_7,drinks,spices
MO_7,spices,spices
MO_7,spices,fruit
MO_7,fruit,fruit
MO_7,fruit,checkout
MO_7,checkout,checkout
MO_8,fruit,fruit
MO_8,fruit,fruit
MO_8,fruit,checkout
MO_8,checkout,checkout
MO_9,dairy,dairy
MO_9,dairy,dairy
MO_9,dairy,dairy
MO_9,dairy,dairy
MO_9,dairy,dairy
MO_9,dairy,fruit
MO_9,fruit,checkout
MO_9,checkout,checkout
MO_10,fruit,fruit
MO_10,fruit,checkout
MO_10,checkout,checkout
MO_11,drinks,drinks
MO_11,drinks,checkout
MO_11,checkout,checkout
MO_12,spices,drinks
MO_12,drinks,drinks
MO_12,drinks,drinks
MO_12,drinks,checkout
MO_12,checkout,checkout
MO_13,dairy,dairy
MO_13,dairy,dairy
MO_13,dairy,dairy
MO_13,dairy,dairy
MO_13,dairy,dairy
MO_13,dairy,dairy
MO_13,dairy,spices
MO_13,spices,dairy
MO_13,dairy,fruit
MO_13,fruit,checkout
MO_13,checkout,checkout
MO_14,fruit,fruit
MO_14,fruit,fruit
MO_14,fruit,checkout
MO_14,checkout,checkout
MO_15,spices,fruit
MO_15,fruit,fruit
MO_15,fruit,fruit
MO_15,fruit,fruit
MO_15,fruit,checkout
MO_15,checkout,checkout
MO_16,dairy,dairy
MO_16,dairy,spices
MO_16,spices,spices
MO_16,spices,checkout
MO_16,checkout,checkout
MO_17,fruit,fruit
MO_17,fruit,fruit
MO_17,fruit,fruit
MO_17,fruit,fruit
MO_17,fruit,fruit
MO_17,fruit,fruit
MO_17,fruit,fruit
MO_17,fruit,fruit
MO_17,fruit,fruit
MO_17,fruit,fruit
MO_17,fruit,checkout
MO_17,checkout,checkout
MO_18,fruit,fruit
MO_18,fruit,dairy
MO_18,dairy,dairy
MO_18,dairy,dairy
MO_18,dairy,checkout
MO_18,checkout,checkout
MO_19,spices,drinks
MO_19,drinks,drinks
MO_19,drinks,drinks
MO_19,drinks,drinks
MO_19,drinks,drinks
MO_19,drinks,drinks
MO_19,drinks,drinks
MO_19,drinks,checkout
MO_19,checkout,checkout
MO_20,drinks,drinks
MO_20,drinks,checkout
MO_20,checkout,checkout
MO_21,drinks,drinks
MO_21,drinks,spices
MO_21,spices,checkout
MO_21,checkout,checkout
MO_22,fruit,fruit
MO_22,fruit,dairy
MO_22,dairy,dairy
MO_22,dairy,checkout
MO_22,checkout,checkout
MO_23,fruit,checkout
MO_23,checkout,checkout
MO_24,drinks,drinks
MO_24,drinks,drinks
MO_24,drinks,drinks
MO_24,drinks,drinks
MO_24,drinks,drinks
MO_24,drinks,checkout
MO_24,checkout,checkout
MO_25,spices,dairy
MO_25,dairy,spices
MO_25,spices,drinks
MO_25,drinks,drinks
MO_25,drinks,drinks
MO_25,drinks,checkout
MO_25,checkout,checkout
MO_26,fruit,fruit
MO_26,fruit,fruit
MO_26,fruit,fruit
MO_26,fruit,dairy
MO_26,dairy,dairy
MO_26,dairy,dairy
MO_26,dairy,dairy
MO_26,dairy,checkout
MO_26,checkout,checkout
MO_27,spices,spices
MO_27,spices,spices
MO_27,spices,dairy
MO_27,dairy,dairy
MO_27,dairy,dairy
MO_27,dairy,dairy
MO_27,dairy,dairy
MO_27,dairy,dairy
MO_27,dairy,dairy
MO_27,dairy,dairy
MO_27,dairy,dairy
MO_27,dairy,dairy
MO_27,dairy,dairy
MO_27,dairy,dairy
MO_27,dairy,dairy
MO_27,dairy,dairy
MO_27,dairy,checkout
MO_27,checkout,checkout
MO_28,drinks,drinks
MO_28,drinks,drinks
MO_28,drinks,checkout
MO_28,checkout,checkout
MO_29,drinks,drinks
MO_29,drinks,checkout
MO_29,checkout,checkout
MO_30,spices,drinks
MO_30,drinks,fruit
MO_30,fruit,dairy
MO_30,dairy,fruit
MO_30,fruit,fruit
MO_30,fruit,checkout
MO_30,checkout,checkout
MO_31,spices,checkout
MO_31,checkout,checkout
MO_32,drinks,drinks
MO_32,drinks,drinks
MO_32,drinks,checkout
MO_32,checkout,checkout
MO_33,fruit,fruit
MO_33,fruit,fruit
MO_33,fruit,dairy
MO_33,dairy,dairy
MO_33,dairy,spices
MO_33,spices,dairy
MO_33,dairy,drinks
MO_33,drinks,drinks
MO_33,drinks,spices
MO_33,spices,drinks
MO_33,drinks,drinks
MO_33,drinks,drinks
MO_33,drinks,drinks
MO_33,drinks,drinks
MO_33,drinks,drinks
MO_33,drinks,checkout
MO_33,checkout,checkout
MO_34,spices,drinks
MO_34,drinks,drinks
MO_34,drinks,drinks
MO_34,drinks,drinks
MO_34,drinks,drinks
MO_34,drinks,drinks
MO_34,drinks,drinks
MO_34,drinks,spices
MO_34,spices,fruit
MO_34,fruit,checkout
MO_34,checkout,checkout
MO_35,dairy,drinks
MO_35,drinks,drinks
MO_35,drinks,drinks
MO_35,drinks,checkout
MO_35,checkout,checkout
MO_36,dairy,checkout
MO_36,checkout,checkout
MO_37,fruit,fruit
MO_37,fruit,fruit
MO_37,fruit,fruit
MO_37,fruit,checkout
MO_37,checkout,checkout
MO_38,fruit,fruit
MO_38,fruit,fruit
MO_38,fruit,fruit
MO_38,fruit,dairy
MO_38,dairy,dairy
MO_38,dairy,dairy
MO_38,dairy,checkout
MO_38,checkout,checkout
MO_39,dairy,checkout
MO_39,checkout,checkout
MO_40,dairy,dairy
MO_40,dairy,dairy
MO_40,dairy,spices
MO_40,spices,checkout
MO_40,checkout,checkout
MO_41,drinks,dairy
MO_41,dairy,spices
MO_41,spices,spices
MO_41,spices,drinks
MO_41,drinks,drinks
MO_41,drinks,drinks
MO_41,drinks,checkout
MO_41,checkout,checkout
MO_42,dairy,dairy
MO_42,dairy,dairy
MO_42,dairy,dairy
MO_42,dairy,spices
MO_42,spices,spices
MO_42,spices,fruit
MO_42,fruit,dairy
MO_42,dairy,dairy
MO_42,dairy,dairy
MO_42,dairy,dairy
MO_42,dairy,dairy
MO_42,dairy,dairy
MO_42,dairy,dairy
MO_42,dairy,dairy
MO_42,dairy,dairy
MO_42,dairy,dairy
MO_42,dairy,dairy
MO_42,dairy,checkout
MO_42,checkout,checkout
MO_43,fruit,fruit
MO_43,fruit,dairy
MO_43,dairy,dairy
MO_43,dairy,dairy
MO_43,dairy,dairy
MO_43,dairy,dairy
MO_43,dairy,dairy
MO_43,dairy,dairy
MO_43,dairy,dairy
MO_43,dairy,dairy
MO_43,dairy,dairy
MO_43,dairy,dairy
MO_43,dairy,fruit
MO_43,fruit,fruit
MO_43,fruit,dairy
MO_43,dairy,dairy
MO_43,dairy,checkout
MO_43,checkout,checkout
MO_44,fruit,checkout
MO_44,checkout,checkout
MO_45,spices,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,fruit
MO_45,fruit,drinks
MO_45,drinks,drinks
MO_45,drinks,drinks
MO_45,drinks,fruit
MO_45,fruit,fruit
MO_45,fruit,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,dairy
MO_45,dairy,checkout
MO_45,checkout,checkout
MO_46,fruit,checkout
MO_46,checkout,checkout
MO_47,drinks,fruit
MO_47,fruit,fruit
MO_47,fruit,fruit
MO_47,fruit,fruit
MO_47,fruit,dairy
MO_47,dairy,dairy
MO_47,dairy,dairy
MO_47,dairy,dairy
MO_47,dairy,checkout
MO_47,checkout,checkout
MO_48,drinks,checkout
MO_48,checkout,checkout
MO_49,spices,checkout
MO_49,checkout,checkout
MO_50,fruit,drinks
MO_50,drinks,drinks
MO_50,drinks,spices
MO_50,spices,checkout
MO_50,checkout,checkout
MO_51,fruit,fruit
MO_51,fruit,fruit
MO_51,fruit,dairy
MO_51,dairy,dairy
MO_51,dairy,checkout
MO_51,checkout,checkout
MO_52,drinks,drinks
MO_52,drinks,spices
MO_52,spices,spices
MO_52,spices,fruit
MO_52,fruit,fruit
MO_52,fruit,fruit
MO_52,fruit,drinks
MO_52,drinks,fruit
MO_52,fruit,fruit
MO_52,fruit,checkout
MO_52,checkout,checkout
MO_53,fruit,fruit
MO_53,fruit,fruit
MO_53,fruit,checkout
MO_53,checkout,checkout
MO_54,spices,dairy
MO_54,dairy,dairy
MO_54,dairy,dairy
MO_54,dairy,dairy
MO_54,dairy,dairy
MO_54,dairy,dairy
MO_54,dairy,checkout
MO_54,checkout,checkout
MO_55,spices,spices
MO_55,spices,dairy
MO_55,dairy,dairy
MO_55,dairy,dairy
MO_55,dairy,checkout
MO_55,checkout,checkout
MO_56,fruit,fruit
MO_56,fruit,fruit
MO_56,fruit,dairy
MO_56,dairy,spices
MO_56,spices,drinks
MO_56,drinks,drinks
MO_56,drinks,drinks
MO_56,drinks,drinks
MO_56,drinks,drinks
MO_56,drinks,checkout
MO_56,checkout,checkout
MO_57,fruit,checkout
MO_57,checkout,checkout
MO_58,drinks,drinks
MO_58,drinks,checkout
